DOG NAME_x,LINK,SEX,AGE,WEIGHT,BREED MIXES_x,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,month,year,ID,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,TRANSPORT DATE,ALTERED,HW,FT,C,Date of Birth,Adopted On,MIX_x,AGE MEASURE,SECONDARY BREED_x,SPAYED/NEUTERED,COLOR_FIXED,multi_color,num_colors,contains_black,contains_white,contains_yellow,WEIGHT2,Age at Adoption (days),DOG NAME_y,BREED MIXES_y,SECONDARY BREED_y,MIX_y,BREED_MIXES_FIXED,is_retriever,is_shepherd,is_other_breed,MIX_FIXED,MIX_BOOL
Gus,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15055963&key=Mqr6gy1W,Male,1 year,29.00lbs,"Beagle, Labrador Retriever",Black & White,Yes,,Lived with,,Dec,2019,FLRN-MD-19-1500,,Walks alone not enough (needs running or playtime); lived with kids; caution on apartments due to breed,,,,,,,,2018-11-09,2019-12-01,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,29.0,387.0,Gus,"Beagle, Labrador Retriever",,,"Beagle, Labrador Retriever",1.0,0.0,0.0,Mix,1.0
Paddy (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14856943&key=Mqr6gy1W,Male,4 years,70.00lbs,Labrador Retriever,Yellow,Yes,,,,Dec,2019,FLRN-MD-19-1428,,Walks alone not enough (needs running or playtime); HW treated 10/1/19; hair loss due to flea allergy,,,,,,,,2015-09-02,2019-12-01,,,,,yellow,0.0,1.0,0.0,0.0,1.0,70.0,1551.0,Paddy (HW),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Helena,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15010425&key=Mqr6gy1W,Female,2 years,50.00lbs,"Retriever, Bulldog",Brown & White,Yes,,,,Dec,2019,FLRN-FD-19-1502,,Walks alone not enough (needs running or playtime); Bully Screen; recovering from demodex,,,,,,,,2017-10-15,2019-12-01,,,,,"brown, white",1.0,2.0,0.0,1.0,0.0,50.0,777.0,Helena,"Retriever, Bulldog",,,"Retriever, Bulldog",1.0,0.0,0.0,Mix,1.0
Legs,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15055956&key=Mqr6gy1W,Male,1 year,55.00lbs,"Labrador Retriever, Greyhound",Black,Yes,Lived with,,,Dec,2019,FLRN-MD-19-1505,,Walks alone not enough (needs running or playtime); lived with cats,,,,,,,,2018-11-10,2019-12-01,,,,,black,0.0,1.0,1.0,0.0,0.0,55.0,386.0,Legs,"Labrador Retriever, Greyhound",,,"Labrador Retriever, Greyhound",1.0,0.0,0.0,Mix,1.0
Chardonnay (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=11115902&key=Mqr6gy1W,Female,4 years,60.00lbs,Labrador Retriever,Brown,Yes,Passed test,Lived with,,Dec,2019,FLRN-FD-17-0431,,Walks alone not enough (needs running or playtime); lived with kids; adopters note stranger danger and guarding tendencies; passed cat test,,,,,Yes,,,2015-04-06,2019-12-01,Mix,years,,Yes,brown,0.0,1.0,0.0,0.0,0.0,60.0,1700.0,Chardonnay (HW),Labrador Retriever,,Mix,Labrador Retriever,1.0,0.0,0.0,Mix,1.0
Onyx,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15029232&key=Mqr6gy1W,Male,2 years,30.00lbs,Labrador Retriever,Black,Yes,,Lived with,,Dec,2019,PRCO-MD-19-1526,,Walks alone not enough (needs running or playtime); lived with kids,,,,,,,,2017-04-01,2020-01-26,,,,,black,0.0,1.0,1.0,0.0,0.0,30.0,1030.0,Onyx,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Brutus (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143542&key=Mqr6gy1W,Male,2 months,6.00lbs,Labrador Retriever,Black,,,,S/N: 4/1/20,Dec,2019,FLRN-MD-19-1576,,Puppy Screen; being treated for demodex,,,,,,,,2019-10-22,2019-12-31,,,,,black,0.0,1.0,1.0,0.0,0.0,6.0,70.0,Brutus (2 shots),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Pooh (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14786783&key=Mqr6gy1W,Male,1 year,35.00lbs,Labrador Retriever,Black & White,Yes,Lived with,,,Dec,2019,MTHY-MD-19-1530,,Walks alone not enough (needs running or playtime); HW treated 10/29/19; lived with cats,,,,,,,,2018-08-01,2019-12-01,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,35.0,487.0,Pooh (HW),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Dainty,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15055945&key=Mqr6gy1W,Female,1 year,30.00lbs,"Beagle, Hound",Black & Tan,Yes,,,,Dec,2019,FLRN-FD-19-1528,,Walks alone not enough (needs running or playtime); caution on apartments due to breed,,,,,,,,2018-11-09,2019-12-01,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,30.0,387.0,Dainty,"Beagle, Hound",,,"Beagle, Hound",0.0,0.0,1.0,Mix,1.0
Parker,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15020239&key=Mqr6gy1W,Male,7 months,30.00lbs,Shepherd,Brindle,REQUIRED,,No,,Dec,2019,FLRN-MD-19-1515,,Walks alone not enough (needs running or playtime); 2nd dog required; no kids under 12 due to shyness,,,,,,,,2019-03-29,2019-12-01,,,,,brindle,0.0,1.0,0.0,0.0,0.0,30.0,247.0,Parker,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
