DOG NAME,LINK,SEX,AGE,WEIGHT,BREED MIXES,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,month,year,ID,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,TRANSPORT DATE,ALTERED,HW,FT,C,Date of Birth,Adopted On,MIX,AGE MEASURE,SECONDARY BREED,SPAYED/NEUTERED
Gus,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15055963&key=Mqr6gy1W,Male,1 year,29.00lbs,"Beagle, Labrador Retriever",Black & White,Yes,,Lived with,,Dec,2019,FLRN-MD-19-1500,,Walks alone not enough (needs running or playtime); lived with kids; caution on apartments due to breed,,,,,,,,11/9/2018,12/1/2019,,,,
Paddy (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14856943&key=Mqr6gy1W,Male,4 years,70.00lbs,Labrador Retriever,Yellow,Yes,,,,Dec,2019,FLRN-MD-19-1428,,Walks alone not enough (needs running or playtime); HW treated 10/1/19; hair loss due to flea allergy,,,,,,,,9/2/2015,12/1/2019,,,,
Helena,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15010425&key=Mqr6gy1W,Female,2 years,50.00lbs,"Retriever, Bulldog",Brown & White,Yes,,,,Dec,2019,FLRN-FD-19-1502,,Walks alone not enough (needs running or playtime); Bully Screen; recovering from demodex,,,,,,,,10/15/2017,12/1/2019,,,,
Legs,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15055956&key=Mqr6gy1W,Male,1 year,55.00lbs,"Labrador Retriever, Greyhound",Black,Yes,Lived with,,,Dec,2019,FLRN-MD-19-1505,,Walks alone not enough (needs running or playtime); lived with cats,,,,,,,,11/10/2018,12/1/2019,,,,
Chardonnay (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=11115902&key=Mqr6gy1W,Female,4 years,60.00lbs,Labrador Retriever,Brown,Yes,Passed test,Lived with,,Dec,2019,FLRN-FD-17-0431,,Walks alone not enough (needs running or playtime); lived with kids; adopters note stranger danger and guarding tendencies; passed cat test,,,,,Yes,,,4/6/2015,12/1/2019,Mix,years,,Yes
Onyx,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15029232&key=Mqr6gy1W,Male,2 years,30.00lbs,Labrador Retriever,Black,Yes,,Lived with,,Dec,2019,PRCO-MD-19-1526,,Walks alone not enough (needs running or playtime); lived with kids,,,,,,,,4/1/2017,1/26/2020,,,,
Brutus (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143542&key=Mqr6gy1W,Male,2 months,6.00lbs,Labrador Retriever,Black,,,,S/N: 4/1/20,Dec,2019,FLRN-MD-19-1576,,Puppy Screen; being treated for demodex,,,,,,,,10/22/2019,12/31/2019,,,,
Pooh (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14786783&key=Mqr6gy1W,Male,1 year,35.00lbs,Labrador Retriever,Black & White,Yes,Lived with,,,Dec,2019,MTHY-MD-19-1530,,Walks alone not enough (needs running or playtime); HW treated 10/29/19; lived with cats,,,,,,,,8/1/2018,12/1/2019,,,,
Dainty,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15055945&key=Mqr6gy1W,Female,1 year,30.00lbs,"Beagle, Hound",Black & Tan,Yes,,,,Dec,2019,FLRN-FD-19-1528,,Walks alone not enough (needs running or playtime); caution on apartments due to breed,,,,,,,,11/9/2018,12/1/2019,,,,
Parker,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15020239&key=Mqr6gy1W,Male,7 months,30.00lbs,Shepherd,Brindle,REQUIRED,,No,,Dec,2019,FLRN-MD-19-1515,,Walks alone not enough (needs running or playtime); 2nd dog required; no kids under 12 due to shyness,,,,,,,,3/29/2019,12/1/2019,,,,
AJ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15074003&key=Mqr6gy1W,Male,5 months,20.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1489,,Walks alone not enough (needs running or playtime); older puppy; recovering from demodex,,,,,,,,6/8/2019,12/1/2019,,,,
Alfafa (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056925&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Golden,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1563,,Puppy Screen; bully warning,,,,,,,,9/12/2019,12/15/2019,,,,
Aioli (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056921&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1562,,New this week; Puppy Screen; bully warning,,,,,,,,9/12/2019,12/7/2019,,,,
Alec,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114521&key=Mqr6gy1W,Male,1 year,45.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1570,,New this week,,,,,,,,11/23/2018,12/8/2019,,,,
Allen,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15058001&key=Mqr6gy1W,Male,2 years,45.00lbs,Pointer,Black & White,Yes,,,,Dec,2019,FLRN-MD-19-1571,,New this week,,,,,,,,11/9/2017,3/21/2020,,,,
Alford (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15127457&key=Mqr6gy1W,Male,4 months,20.00lbs,"Beagle, Shepherd",Tri-color,Yes,,,,Dec,2019,FLRN-MD-19-1604,,New this week; Puppy Screen; caution on apartments due to breed,,,,,,,,7/25/2019,12/7/2019,,,,
Almond (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056941&key=Mqr6gy1W,Female,2 months,10.00lbs,"Labrador Retriever, Terrier",Golden,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-FD-19-1564,,New this week; Puppy Screen; bully warning,,,,,,,,9/12/2019,,,,,
Anchovy (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056929&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1565,,New this week; Puppy Screen; bully warning,,,,,,,,9/12/2019,8/22/2021,,,,
Apple (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056932&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1566,,New this week; Puppy Screen; bully warning,,,,,,,,9/12/2019,12/7/2019,,,,
Apricot (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056933&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1567,,New this week; Puppy Screen; bully warning,,,,,,,,9/12/2019,,,,,
Artichoke (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056939&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Tan & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1568,,New this week; Puppy Screen; bully warning,,,,,,,,9/12/2019,12/7/2019,,,,
Avocado (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056940&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1569,,New this week; Puppy Screen; bully warning,,,,,,,,9/12/2019,12/8/2019,,,,
Balove (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143535&key=Mqr6gy1W,Male,,,,,,,,,Dec,2019,FLRN-MD-19-1574,,,,,,,,,,10/22/2019,12/8/2019,,,,
