DOG NAME,LINK,SEX,AGE,WEIGHT,BREED MIXES,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,KIDS2,month,year,Column3,Column4,Column5,Column6,Column7,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,HW,FT,C,ALTERED,Column1,Dog Name,Column2,ID,TRANSPORT DATE,Date of Birth,Adopted On,MIX,AGE MEASURE,SECONDARY BREED,SPAYED/NEUTERED
Aioli (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056921&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen; bully warning,,,,,,,,,,FLRN-MD-19-1562,,2019-09-12,2019-12-07,,,,
AJ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15074003&key=Mqr6gy1W,Male,5 months,20.00lbs,Labrador Retriever,Black,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); older puppy; recovering from demodex,,,,,,,,,,FLRN-MD-19-1489,,2019-06-08,2019-12-01,,,,
Alec,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114521&key=Mqr6gy1W,Male,1 year,45.00lbs,Labrador Retriever,Black,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-MD-19-1570,,2018-11-23,2019-12-08,,,,
Alfafa (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056925&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Golden,Yes,,,S/N: 3/1/20,,Dec,2019,,,,,,,Puppy Screen; bully warning,,,,,,,,,,FLRN-MD-19-1563,,2019-09-12,2019-12-15,,,,
Alford (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15127457&key=Mqr6gy1W,Male,4 months,20.00lbs,"Beagle, Shepherd",Tri-color,Yes,,,,,Dec,2019,,,,,,,New this week; Puppy Screen; caution on apartments due to breed,,,,,,,,,,FLRN-MD-19-1604,,2019-07-25,2019-12-07,,,,
Allen,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15058001&key=Mqr6gy1W,Male,2 years,45.00lbs,Pointer,Black & White,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-MD-19-1571,,2017-11-09,2020-03-21,,,,
Almond (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056941&key=Mqr6gy1W,Female,2 months,10.00lbs,"Labrador Retriever, Terrier",Golden,Yes,,,S/N: 3/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen; bully warning,,,,,,,,,,FLRN-FD-19-1564,,2019-09-12,,,,,
Amapola,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15162310&key=Mqr6gy1W,Female,3 years,13.00lbs,Terrier,Fawn,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,PRCO-FD-19-1674,,2016-06-01,2019-12-15,,,,
Anchovy (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056929&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen; bully warning,,,,,,,,,,FLRN-MD-19-1565,,2019-09-12,2021-08-22,,,,
Andi,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15003390&key=Mqr6gy1W,Female,8 months,45.00lbs,Shepherd,Orange & White,Yes,Lived with,Lived with,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); lived with kids and cats,,,,,,,,,,FRKN-FD-19-1389,,2019-04-01,2019-12-12,,,,
Ansley,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114619&key=Mqr6gy1W,Female,8 months,30.00lbs,Labrador Retriever,Fawn,Yes,Passed test,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); being treated for demodex; commitment to socialization; bully warning; passed cat test,,,,,,,,,,FLRN-FD-19-1572,,2019-03-22,2019-12-21,,,,
Apple (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056932&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen; bully warning,,,,,,,,,,FLRN-MD-19-1566,,2019-09-12,2019-12-07,,,,
Apricot (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056933&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen; bully warning,,,,,,,,,,FLRN-MD-19-1567,,2019-09-12,,,,,
Arlo,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14918577&key=Mqr6gy1W,Male,10 months,40.00lbs,Shepherd,Tan,Yes,Passed test,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); puppy-like behaviors; passed cat test (likes to chase/play),,,,,,,,,,FLRN-MD-19-1244,,2018-11-16,2019-12-22,,,,
Artichoke (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056939&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Tan & White,Yes,,,S/N: 3/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen; bully warning,,,,,,,,,,FLRN-MD-19-1568,,2019-09-12,2019-12-07,,,,
Avocado (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056940&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn,Yes,,,S/N: 3/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen; bully warning,,,,,,,,,,FLRN-MD-19-1569,,2019-09-12,2019-12-08,,,,
