LDAR Name,LDAR ID #,Reason for Return,Status,Behavior with Dogs,Behavior with Cats,Behavior with Kids,Behavior in Crate,Energy Level,Socialization / Daycare,Vetting,Preventatives Date,Date of Adoption,Trial Adoption,Has the animal been returned before?,Previous Return Information,Date of Returns Email Sent,Date of Returns Packet,Timeline for Return,Plan for Return,Return or Rehome/Surrender,Month Returned,year,Dog info,6 Month +,Year Adopted,Date Returned,Date Returns Packet Sent,Current Status,Link,Return Category,DOG/CAT,Trainer Eval Req,Other Info,Outcome,Plan for return?,Date of Contact,Primary Reason,Vet Rec Rec'd,Date Monthly Med,Vetting Needed
Popcorn,LACS-MD-20-3323,"Aggression, unable to train","12/29 - Reached out for return, survey sent (K)
12/31 - Submitted
RETURNED - 1/3",Good,Chases them,Unknown,Settles quickly,High,Unknown,3 parasites - taking med,HW 12/3/20; FT 12/20/20,2020-12-11 00:00:00,No (expired),No,,2020-12-26 00:00:00,2020-12-31 00:00:00,ASAP,,RETURN,Jan,2021,M/11MO/45lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Crunch,FLRN-MD-20-2777,Can't handle a puppy,"12/17 - Reach out for return, survey sent (K)
12/21 - FU sent (K)
12/24 - Waiting on new vet records
12/27 - Medical review
1/1 - Packet submitted
RETURNED - 1/2",Good,Unknown,Unknown,Good,Very high,Unknown,"Not neutered, malnourshed",2020-12-09 00:00:00,2020-09-25 00:00:00,No,No,,2020-12-17 00:00:00,,ASAP,,RETURN,Jan,2021,M/6MO/17lbs/ShepLabMix,,,,,,,,Puppy (hrtwrm - and 5 months <= age < 7 months),,,,,,,,,
Simon,FLRN-MD-20-3404,Requires more exercise than adopter can provide,"1/2 - Reached out for return
1/3 - Survey sent (L)
1/3 - Medical review
SCHEDULED MONDAY, 1/4 11 AM, ADOPTION PENDING @ noon","Great, passed daycare evaluation",Unknown,Great,Unknown,Very High,Good at daycare,"UTD, is on panacur and metronidazole, will come with meds on return","HW - 12/15/2020
FT - 12/18/2020",2020-12-27 00:00:00,No,No,,2021-01-03 00:00:00,2021-01-03 00:00:00,"Return planned for Monday, adoption planned same day",,RETURN,Jan,2021,M/2YO/46lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Yolanda,LACS-FD-20-3329,Sep Anxiety / Barking,"12/22 - Survey sent (L)
12/24 - Pending vet records
12/26 - Medical Review
12/27 - Submitted
REHOME
NEEDS TO MOVE TO FOSTER, Connected with Ashley / Danie
VMG, 1/9 - PENDING
ADOPTED!",Skittish,Unknown,Nervous,"Barks, tears up bedding",Medium,OK - nervous around some dogs,UTD,2020-12-22 00:00:00,2020-12-11 00:00:00,Yes,No,,2020-12-22 00:00:00,2020-12-27 00:00:00,REHOME,,REHOME,Jan,2021,F/3YO/55lbs/GermanShep,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Maxie,HRNL-FD-20-2564,"Pulls on walks, adopter can't manage, snaps at adopter","1/5 - Reached out for return
1/7 - Survey sent (L)
1/8 - Branding, Packet Submitted
Monday, 1/11, 11 AM",Slow intros but good,Unknown,Unknown,"Barks, paces",High,,No new records,CONFIRM WITH LUCKY DOG,2020-12-30 00:00:00,No,No,,2021-01-07 00:00:00,2021-01-08 00:00:00,ASAP - asked for 1/9/2021,,RETURN,Jan,2021,F/2YO/50lbs/PointerMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Willow,FLRN-FD-20-3381,Can't coexist with resident dog - multiple dog fights (last one resulted in ER vet),"1/6 - Survey sent (K)
1/7 - Med review; packet submitted
Scheduled - 1/12, 5 PM",Mouthy/bites and latches when playing with other dogs. Willow does enjoy playing with other dogs.,Unknown,Unknown,Initially howls or whines and then settles after a few mins,High,Unknown,Pain meds and antibiotics for dog bite,"Proheart 12-month injection, 11/5/20; Bravecto 10/17/20",2020-12-19 00:00:00,No,No,,2021-01-06 00:00:00,2021-01-07 00:00:00,ASAP,,RETURN,Jan,2021,F/10-11MO/50lbs/PitMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Sky,FLRN-FD-20-3405,Struggling to manage energy,"1/12 - Reached out for return 
1/13 - Survey sent (L)
1/13 - Medical review, branding
1/13 - Asking re medical issue resolution - OK, pending branding
MONDAY, 10:30 AM","Good, can play rough",Unknown,Unknown,"Good, whines at night",Very High,Good at dog parks,"UTD, had kennel cough and giardia, treated and resolved","HW - 1/9/2021
FT - 1/14/2021",2020-12-23 00:00:00,Yes - Out of two weeks,No,,2021-01-13 00:00:00,2020-01-14 00:00:00,By 1/18/2021,,RETURN,Jan,2021,F/1YO/33lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Bosley,TLHS-MD-20-2074,"Adopter downsized, now lives with granddaughter who is allergic","1/9/ - Return requested
1/10 - Survey sent
1/11 - Packet submitted
TENTATIVE - MONDAY 1/18
ADOPTION PENDING!",Good,Unknown,Great,OK,Medium-High,Great at dogpark,No new records,DUE NOW,2020-07-11 00:00:00,No,No,,2020-01-10 00:00:00,2020-01-11 00:00:00,"Can keep until February, would expedite return",,RETURN,Jan,2021,M/3YO/30lbs/AussieSheepDog,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Tina,NPHT–FD-20-2432,Not integrating with resident dog,"1/6- Reached out for return
1/10 - Danie connected, willing to rehome 
1/13 - Survey sent (L)
1/13 - Medical review, branding
Tuesday, 1/19, 2:45 PM","Great at dog park, resource guards with dog in home",Unknown,Great,Good,Medium,Great at dog parks,wean off the clonidine once back,2020-12-17 00:00:00,2020-09-27 00:00:00,No,No,,2021-01-13 00:00:00,2020-01-14 00:00:00,"Can keep for a while, may want to move due to dog on dog issues",,RETURN,Jan,2021,F/8MO/40lbs/DalmationTerrierMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Flip,FLRN-MD-20-3396, too high energy or anxious for her lifestyle,"1/12 - Reached out for return 
1/13 - Survey sent (L)
1/13 - Medical Review
Pending Foster
RETURNED THURSDAY - 1/21","Good at dogpark, can be reactive on leash",Unknown,Unknown,OK,Very High,Minimal exposure to dog park but seemed ok,Treated for HW,"Due 1/15 for HW, 1/29 for F/T, confirm on return",44188,No,No,,2021-01-13 00:00:00,2020-01-14 00:00:00,Can keep until foster,,RETURN,Jan,2021,M/2YO/47lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
